	level1	level2	level3	topic	level	keywords
71	kommunikáció	nyelvtudás és nyelvhasználat		nyelvtudás és nyelvhasználat	2	angoltanár; nyelvtehetség; nyelvérzék; soknyelvűség; nyelviskola; nyelvtanfolyam; nyelvtanulás; nyelvtanítás; nyelvtudás; nyelvvizsga; nyelv; nyelvtanár
72	kommunikáció	média		média	2	tévé; média; rádió; atv; népszaván; rtl; cenzúra; hírforrás; intern; internet; tévéből; tévén; újságíró
73	kommunikáció	média	internet	internet	3	internet; kereső; keresőmotor; wifi; világháló
74	kommunikáció	média	közösségi média	közösségi média	3	Facebook; Twitter
75	kommunikáció	forrás		forrás	2	forrás; kutat; emlékszik; mesél; hiteles; összeszed
76	kommunikáció	forrás	dokumentum	dokumentum	3	napló; fénykép; irat; levél; menlevél; dokumentum; munkakönyv; nyilvántartás; archívum; dokumentált; levelezés; zsoldkönyv
77	kommunikáció	forrás	emlékezés	emlékezés	3	emlék; elfojtás; emlékezik; emlékmű; emlékszik; fénykép; megemlékező; mesél; nosztalgia; nosztalgiahullám; sztori; történet; önéletrajz
78	környezet			környezet	1	 környezet
79	környezet	térbeli elhelyezkedés		térbeli elhelyezkedés	2	környék
80	környezet	térbeli elhelyezkedés	épített környezet	épített környezet	3	belterület; iparváros; lakótelep; park; játszótér; épület; wc; beton; elhanyagolt; elhasználódik; erőmű; garázs; kiskert; mozi; sportpálya; strand; épít; építkezés
81	környezet	térbeli elhelyezkedés	település	település	3	település
82	környezet	térbeli elhelyezkedés	külföld	külföld	3	külföld; amerika; németország; anglia; bécsbe; disszidál; külszolgálat; ausztria; európa; nairobi; külföldi; ausztrália; brüsszelbe; bécs; csehszlovákia; erdély; fiume; franciaország; frankfurt; hannover; hannoverbe; hollandia; irak; iránba; izrael; izraelbe; jugoszlávia; londonba; mariahilfer; moszkva; münchen; ndk; pozsony; prág; párizs; svájc; szentpétervár; szlovákiba; szovjetunió; teherán; amerikaiaktól; angol; hollandoktól; iráni; nyugat; szovjet; utazik; világútlevél; útlevél; útlevélosztály
83	környezet	térbeli elhelyezkedés	ország	ország	3	ország; Ausztria; Svájc; Németország; Anglia; Csehszlovákia; Bulgária; Szerbia; Ukrajna; Szlovénia; Lengyelország; Franciaország; Spanyolország; Olaszország; Hollandia; Dánia; USA
84	környezet	térbeli elhelyezkedés	régió	régió	3	régió; Dunántúl; Alföld; Kisalföld; Nyugat-Dunántúl; Közép-Dunántúl; Dél-Dunántúl; Közép-Magyarország; Észak-Magyarország; Észak-Alföld; Dél-Alföld
85	környezet	térbeli elhelyezkedés	helyváltoztatás	helyváltoztatás	3	szálloda; kocsi; repülőgép; ibusz; sportút; nyaral; turistaút; utazás; útlevél; autóbusz; honvágy; kirándulás; leutazik; nyaralás; osztálykirándulás; sporttúra; személykocsi; taxi; tengerpart; táborozás; utazgat; vendégfogadó; útlevélosztály; útvonal; vízum
86	környezet	természeti környezet		természeti környezet	2	barlang; tengerszem; vihar; vízesés; dombtető; hegy; hegytető; hegycsúcs; mező; rét; természet; környezet
87	környezet	természeti környezet	éghajlatváltozás	éghajlatváltozás	3	klímaváltozás; éghajlat; változás; felmelegedés
88	környezet	természeti környezet	környezetszennyezés	környezetszennyezés	3	permetez; permet; szennyezés; környezet; szennyvíz
89	környezet	természeti környezet	állat	állat	3	állat; állatja
90	környezet	természeti környezet	természeti katasztrófa	természeti katasztrófa	3	földrengés; árvíz; vihar; vulkánkitörés
91	kultúra			kultúra	1	fesztivál; szubkultúra; zenekar; beszéd; koncert; legpopulárisabb; skinheadek; efott; sziget; buli; farmernadrág; fellépő; fesztiváljáró; film; filmvetítés; hagyomány; irodalmár; közönség; legmainstream; mainstream; népdalkórus; plázázás; rendezvény; sorozat; sztár; színház; táncikál; táncol; verssor
92	kultúra	közösségi és kulturális tér		közösségi és kulturális tér	2	kultúrterem; könyvtár; kávéház; kultúrtermük; rendezvény; színház; színpa; úttörőtábor
93	kultúra	kulturális esemény		kulturális esemény	2	koncert; rendezvény; fesztivál; előadás; kiállítás
94	kultúra	alkotás		alkotás	2	alkotó; kreatív
95	kultúra	művészet		művészet	2	művész; kiállítás; kiállításom; színész; zenei; babits; avantgard; dramaturg; filmgyár; filmművészet; főszerep; irodalmi; irodalmár; irodalom; kamarakóru; kamarakórus; költő; megnyitó; művészparcella; regény; szinkronrendező; színház; tehetség; verssor; zenél; énekel
96	kultúra	szokások és hagyományok		szokások és hagyományok	2	karácsony; hagyománykör; hagyomány; esküvő; hagyományőrzés; születésnap; hagyományápolás; ünnepség; disznóvágás; hosszúnap; szilveszter; bál; búcsú; díszsírhely; emlékmű; fogadás; húsvét; karácsonyozik; kóser; körülmetélt; küp; lakodalom; megemlékezés; megkoszorúz; megnősül; mindenszent; nyaral; népviselet; nőnap; rendezvény; szenteste; szilveszter; tradíció; virrasztás; évforduló; ünnep; ünnepel
