	level1	level2	level3	topic	level	keywords
97	munka és foglalkoztatás			munka és foglalkoztatás	1	dolgozik; munka; cég; elhelyezkedik; főnök; munkalehetőség; munkaviszony; szakma; kollega; állás; dolgozó; főosztályvezető; hentes; közgazdász; munkanélküli; munkanélkülin; újságkihordó; üzem; üzletvezető; betegállomány; takarí; betegszabadság; bevásárol; bányamérnök; elbocsát; esztergályos; felvesz; felvétel; gépkocsivezető; hentesbolt; igazgató; karrierív; keres; kiközvetítő; minimálbér; munkakör; munkatörvénykönyv; másodállás; mészáros; sofőr; szabadság; szerkesztő; takarít; tanár; technikus; telepvezető; toborzás; túlóra; vállalkozó; ács; értékesítő; újságíró; alkalmik; katonatiszt; muki; napszám; szociológus; tb; titkárnő; alapbérezés; alapítvány; alkalmatosságit; alkalmaz; asztalosmester; autókereskedés; beosztott; betanítás; bevásárlás; biofizikus; bizsu; boltos; csillés; csoportvezető; csúcsvezető; cukrász; dolgozhat; eladó; elküld; elnök; előrejut; előremenetel; esztergál; farakodó; fizetés; fluktuáció; foglalkoztat; foglalkoztatás; futószalag; fuvaros; fuvaroz; fényképész; fényképészkedik; földprogram; fölvétel; főnöök; főz; főállású; gazdaság; gondoz; gyár; gyárigazgató; gázsol; géplakatos; hentessegéd; házal; háztartásbeli; igazgatóhelyettes; ipar; iroda; kapál; karrier; kereskedő; kisiparos; kocsis; kolleg; kubikus; kérdezőbiztos; közfoglalkoztat; közhasznú; kőműves; lakatos; ledolgozik; leépít; megkeres; mesterlegény; mesterség; mosogat; munkafolyamat; munkaidő; munkakereső; munkaruha; munkaszerép; munkatárs; munkásgyerek; muzsikus; muzsikál; másodfoglalkozás; másodállású; mázsamester; műhely; műszak; műszakok; nyomdász; nyugdíj; nyugdíjaz; orvos; pálya; pék; raktár; ranglétra; rokkantnyugdíjas; ruhatervezés; segéd; segédkönyvelő; segédmunkás; szabadúszó; szakember; szakértő; szerződés; szociálpolitikus; szállodavezető; szállításvezető; szénégető; takarítás; takarítónő; tanácsi; tanárnő; tanít; targoncázás; tehenész; tehénfejés; termés; toborzá; toborzási; tollazik; támogatott; túltelítettség; túlórázik; túlórázol; vagonkirakó; vegyész; vendéglátós; vezető; vezérigazgató; vállalat; vállalkozik; vállalkozás; végigdolgozik; zongoraművész; álláskeresési; állómunka; átlagbér; életpályádat; értekezl; órabér; ökoszociológus; üz; filmrendező
98	munka és foglalkoztatás	munkahely		munkahely	2	munkahely; állás; dolgozik; alkalmazott; elhelyezkedik; elhelyezkedés; kirúgás; lemondás; munkavállalás; alkalmazva; bejárás; felmondás; felvétel; foglalkozás; iroda; irodaház; munka; munkafolyamat; munkatapasztalat; műhely; ranglétra; vendéglátós; vállalat; vállalkozó; pozíció
99	munka és foglalkoztatás	munkavégzés		munkavégzés	2	munkáltató; szakmunkás; dolgozik; munka; kapál; alkalmazott; elhelyezkedés; diákmunka; dolgoz; dógozik; munkalehetőség; vállalkozó; állás; dolgozgat; mindenes; beosztás; betanulás; csinál; dolgozás; elhelyezkedik; elhivatottság; fakitermelés; foglalkozás; futószalag; földmunka; háztartásbeli; irodai; munkafolyamat; munkamódszer; munkaruha; parasztmunka; pálya; pályafutás; pályakezdés; pénzszerzés; ranglétra; túlóra; vállalkozik
100	munka és foglalkoztatás	munkaviszony		munkaviszony	2	munkáltató; munkaszerződés; munkabér; felmondás; próbaidő; kilépés; bérminimum; minimálbér
101	munka és foglalkoztatás	fizetetlen munka		fizetetlen munka	2	ingyenmunka; önkéntes
102	munka és foglalkoztatás	munkakörülmények		munkakörülmények	2	alapbérezés; fegyelmi; fogadtatás; jutalék; kirúgva; közfoglalkoztat; monoton; műsz; részesedés; túló; állómunka; átlagbér; éjszakás
103	munka és foglalkoztatás	munkakörülmények	ingázás	ingázás	3	bejáró; ingázik
104	munka és foglalkoztatás	munkanélküliség		munkanélküliség	2	munkanélküli; munkakereső; állástalan; álláskeresés; álláskereső
105	munka és foglalkoztatás	szakma		szakma	2	foglalkozás; szakma; végzettség; hivatás; állás; mesterség; pálya; karrier; pályafutás
106	munka és foglalkoztatás	fizikai munkás		fizikai munkás	2	kőműves; mindenes; napszám; anyagmozgató; asztalosmester; betanít; brigád; dolgozókkal; fuvaros; fóliázik; fűtő; hentes; kapál; kubikus; kubikusoknál; munkáskörnyezet; mészáros; művezető; pakol; paraszt; pék; szakmunkás; szerelő; takarít; vagonkirakó; állványoz
107	munka és foglalkoztatás	szellemi dolgozó		szellemi dolgozó	2	értelmiségi; tanár; cégvezető; diplomata; filozófus; jogtanácsos; jogász; kutató; közgazdász; matematikus; rendőrtiszt; szinkronrendező; természettudós; óraadó; újságíró; üzletkötő
108	oktatás			oktatás	1	iskola; tanár; tanítvány; tanul; képzés; oktatás; vizsga; felvételiz; felvételizik; leérettségizik; tanulás; érettségi; differenciálás; diploma; diplomás; felvesz; hallgató; hatodikos; kollégista; kurzus; középiskolás; megtanul; osztály; pedagógus; pályaválasztás; tudás; tudásanyag; évfolyam; ösztöndíj; ösztöndíjakról; gimi; leánygimnázium; matek; alapképzés; bejut; bentlakó; bizonyítvány; családlátogatás; diákhitel; diákév; egyetemi; elsős; fejkvóta; felvételizget; fodrásztanuló; félév; főiskolá; gimnazista; harmadik; hitoktatás; igazgató; informatika; iskol; iskolarendszer; iskolavonal; iskolaválasztás; korrepetál; kémiá; képzettség; középiskol; középiskolai; lemorzsolódás; levelező; levizsgázik; magolás; magániskola; magántanuló; magántanár; matekos; matektagozat; matematika; matematiká; megbukik; megbuktat; megtanulhat; megtanít; mentorál; másodéves; nappali; nebuló; nevelőim; nyelviskola; nyelvtanfolyam; nyelvvizsga; németóra; oktatási; oktatócég; osztálykirándulás; osztályozás; osztálytárs; partneriskola; puskázás; rekreáció-tanárképző; szakdolgozat; szakmunkásképző; szeminárium; szociológusképzés; tananyag; tandíj; tanszékvezető; tantárgy; tanulhat; tanári; tanévkezdés; tanít; tanítvány; tanító; tanítóképző; tanóra; termékvizsga; társadalomtörténet; témazárók; vizsgázzatok; általános; érettségizik; értelmiség; évfolyamtár; évfolyamtárs; újságírósuliba
109	oktatás	oktatási intézmény		oktatási intézmény	2	iskola; egyetem; középiskola; gimnázium; főiskola; óvoda; suli; gimi; szakközép; szakközépiskola; szakmunkásképző
110	oktatás	oktatásban résztvevő személy		oktatásban résztvevő személy	2	rektor
111	oktatás	oktatásban résztvevő személy	pedagógus	pedagógus	3	tanít; pedagógus; nevelő; tanár; professzor; logopédus; nevelőtestület; szaktanár; tantestület; tanársegéd; tanítónő; óraadó; történelemtanár
112	oktatás	oktatásban résztvevő személy	diák	diák	3	magántanuló; tanítvány; sni; tanuló; btm; sni-s; btm-es; elsős; gyerekekn; főiskolás; hallgató
113	oktatás	oktatási esemény		oktatási esemény	2	felvételi; lemorzsolódik; verseny; családlátogatás; csoportfoglalkozás; diploma; előfelvétel; kompetenciamérés; kurzus; lemorzsolódás; lemorzsolódó; mentorál; szemináriumsorozat; tanítás; védés; érettségi; óraadó
114	oktatás	tanulás		tanulás	2	ismeretszerzés; okulás; művelődés; tanulmány; elsajátít; önképzés; önnevelés; autodidakta
115	oktatás	végzettség		végzettség	2	végzettség; oklevél; diploma
116	oktatás	alap- és középfokú oktatás		alap- és középfokú oktatás	2	iskola; gimnázium; középiskola; osztály; tanoda; alsó; felső; általános; gimnáziumi; tagozat; drámatagozat; gimi; iskolás; napközis; szakközépiskola; érettségizik; óvoda; érettségi
117	oktatás	felsőoktatás		felsőoktatás	2	disszertáció; nagydoktori; kandidátus; főiskola; egyetem; egyetemi; elte; dékán; hallgató; pályaválasztás; főiskola; bölcsészkar; diploma; interdiszciplináris; keresztfélév; képzés; szakszeminárium; szeminárium; tanszék; tanítóképző; évfolyamtárs; hök; közgáz; közgázon; phd; szakkollégium; tudományegyetem; adjunktus; akkreditációs; akkreditálódik; alapképzés; anatómia; antropológushallgató; biofizikus; biokémikus; csoporttárs; diplomamunka; diákhitel; diákélet; diákév; egyetem; előadó; felsőoktatási; felvételizik; főiskolaválasztás; főiskolás; gólyatábor; hospitál; kollégium; oklevél; phd-program; pszichológusképzés; szak; szakdolgozat; szakdolgozati; szakos; szakszeminarista; szakszemináriumi; szemeszter; szociológusképzés; színművészeti; tagintézmény; tanszékvezető; terepgyakorlat; védés
118	oktatás	képzés és szakképzés		képzés és szakképzés	2	mesterlegény; mesterszak; továbbképzés; képzés; felnőttképzés; felnőttképzési; jogosítvány; szakma; szakmunkásképző; tréning; ügyvitel; szakmunkás; esztergályos; gyorsírás; géplakatos; inas; kiképezve; kiképzés; segédvizsga; tanfolyam
119	politika			politika	1	politika; politikai; párt; fidesz; jobbikkal; demokrácia; ellenzéki; kormány; liberális; miniszter; politikus; gyurcsány; mszp; aktivista; fideszes; jobbikos; politizál; tüntetés; átpolitizáltság; hvim; jobbik; parlamentbe; reformerek; tervhivatal; vona; véderősök; belpolitika; belügyminiszter; demokrata; demokratikus; euroszkeptikus; felvonulás; fidesz-szavazó; gárda-rendezvény; gárdista; igazságügy; kampányaktivista; kampányolás; kampányreklám; kormányzat; közélet; külügy; liberalizmus; lisszaboni-szerződés; mozgalom; mozgalomjelleg; parlament; parlamenti; polgármester; politik; pénzügy; pénzügypolitika; szavaz; szavazó; szocialista; szocik; titkosszolgálati; unió-ellenes; világkép; visszaosztás
120	politika	politikai szereplő		politikai szereplő	2	pártbizottság; kormány; kormányzat; miniszter; minisztérium; orbán; miniszterelnök; miniszterem; nagykövet; államvezető; antal; bajnai; fidesz; grós; gyurcsány; járai; külügyminiszter; mszp; medgyessy; munkástanács; népfron; orbánék; pénzügyminiszter; soros; attasé; bajnai-kormány; bajnai-kormányon; ellenforradalmár; elvtárs; fenntartó; hatalmasság; miniszerelnök; minisztertanács; politikus; politikusok; pártfunkció; pártitkár; párttitkár; pénzügyminiszterem
121	politika	politikai szereplő	kormányzat	kormányzat	3	miniszter; kormány; kormányzat; miniszterelnök; pénzügyminiszter; antall; törvény; parlamentbe; antall-kormány; kormánykutató; kormányrendelet; politika; rendelet; állam; államapparátus; államtitkár
122	politika	politikai szereplő	politikai párt	politikai párt	3	párt; jobbik; fidesz; pártbizottság; párttag; fidesznek; mszp; szdsz; nyilas; párttitkár; pártvezetőség; jobbikkal; jobbikra; lmp; mdf; népfron; népfront; fideszes; kisz-titkár; kommunista; nagykoalíciós; politika; pártharc; pártitkár; párttagság; pártvezetés; szocdem
123	politika	szakpolitika		szakpolitika	2	beintegrál; integráció; családgondozó; iskolabusz; pénzügypolitikai; betelepít; gazdaságpolitikus; hiba; integrál; nyugdíjreform; politik; rendelet; szakszolgálat; támogatás; versenypolitikai; végkielégítés; öngondoskodás; összevonás
124	politika	szakpolitika	társadalompolitika	társadalompolitika	3	gyes; munkanélkülin; tanácsi; betegállomány; szociálpolitikain; tb; földprogram; gyed-; intézeti; intézetis; lakásfenntartási; munkakereső; munkanélküli; nevelőszülő; nyugdíj; rokkantnyugdíjas; szakszolgálat; szociálpolitika; szocpol; szocpolos; támogatás; társadalompolitikai; álláskeresési
125	politika	nemzetközi politika		nemzetközi politika	2	geoorphan; világtalálkozó
126	politika	politikai részvétel		politikai részvétel	2	tüntetés; karta; ellenzéki; párttag; választás; aktivista; diákmozgalom; megmozdulás; politikusi; pártpolitika; párttitkár; szabadegyetemi; szamizdat; szórólap; szószóló; tárgyalhat
127	politika	politikai rendszer		politikai rendszer	2	káder; kádergyerek; kádár-rendszer
128	politika	politikai rendszer	demokrácia	demokrácia	3	demokratikus; népszavazás; szavazás; képviselet
129	politika	politikai rendszer	diktatúra	diktatúra	3	mszmp; cenzúra; diktatúra; ügynöklista
130	politika	politikai rendszer	kommunizmus	kommunizmus	3	ávó; béketanács; mszmp; rákosi; szovjetunió; elvtárs; elvtársnő; kommunista; munkáskáder; pártbizottság
131	jog			jog	1	börtön; bűnözés; bűnöző; lopás; nyomozó; szabadul; törvény; ártatlan; ügyvéd; pénzbüntetéses; bíróság; börtönbevonulás; bűncselekmény; bűnözz; elítélt; fegyelmi; fogház; fogház-körlet; gyilkos; gyilkosság; igazságszolgáltatás; jogrend; jogszabály; kiskapu; lop; perelés; szabadulás; szabályozás; szabálysértő; szadulás; szakértő; tolvaj; zárkatársaink; ítél; összbüntetés
132	jog	emberi jogok		emberi jogok	2	ártatlan; szabadság; egyenlőség; szólásszabadság; véleménynyilvánítás
133	jog	nemzetközi jog		nemzetközi jog	2	szuverenitás; önrendelkezés; függetlenség; belügy; szabadságjog; ENSZ; nemzetközi
134	jog	jogszabály és szabályzat 		jogszabály és szabályzat 	2	jogszabály; szabályzat; törvény; rendelkezés; rendelet; kormányrendelet; paragrafus; cikkely; hatály
135	jog	jogsértés és bűnelkövetés		jogsértés és bűnelkövetés	2	lopás; rablás; bűnözés; feketéz; bűnözik; bűnözőktől; kirabol; kínozik; megtámad; szabálysértő; tolvaj; támad; törvényszegő
136	jog	jogsértés és bűnelkövetés	korrupció	korrupció	3	korrupciós
137	jog	jogsértés és bűnelkövetés	prostitúció	prostitúció	3	prostituált; utcalány; kéjhölgy; kurtizán; szajha; örömlány; perdita; prosti; céda; cemende; lotyó; cafka; kokott; repedtsarkú; rüfke; bárcás; hetéra; sarkonálló; kéjnő; luvnya; bérnőstény; rima; dajna
138	jog	emberiesség elleni bűncselekmény		emberiesség elleni bűncselekmény	2	kínzás; munkaszolgálatos; szadista; vérengzés; munkaszolgálat
139	jog	emberiesség elleni bűncselekmény	kitelepítés	kitelepítés	3	kitelepítés; kitelepített
140	jog	emberiesség elleni bűncselekmény	deportálás	deportálás	3	deportálva; deportál; munkaszolgálatos; barakk; deportált; deportálás; elhurcol; bunkerásás; bevagoníroz; deportálásokról; deportálásom; elvisz; halálmenet; munkaszolgálat; munkaszolgálatosom; vagon; vagoníroz; vagonírozás; zsidóüldözés
141	jog	emberiesség elleni bűncselekmény	jogfosztás	jogfosztás	3	menlevél; jogfosztott
142	jog	emberiesség elleni bűncselekmény	népirtás	népirtás	3	agyonlő; eléget; kinyír; meggyilkol; megkínozik
143	jog	jogérvényesítés		jogérvényesítés	2	jogellenes; érdek; sérelem; szankció; közérdek; kártérítés; jogsértés; végrehajtás
144	jog	jogérvényesítés	kárpótlás	kárpótlás	3	jóvátétel; kárpótlás
145	jog	igazságszolgáltatás		igazságszolgáltatás	2	bíró; bíróság; per; alperes; felperes
146	jog	igazságszolgáltatás	büntetés	büntetés	3	büntetés; feketelista; büntetve; letartóztat; ítélet; bevonulás; bíró; bírság; bűncselekmény; bűnözés; fegyelmi; fogház-körlet; megkorbácsol; per; pénzbírság; rendőrség; szabadul; ártatlan; deportálás
147	jog	igazságszolgáltatás	börtön	börtön	3	börtön; cella; rab; szabadulás; fogház; nevelő; őr; börtönmisszió; eltáv; fegyház; pártfogó; visszailleszkedés; zárka; zárkatárs; életfogytiglan; rabo; benntart; börtönre; börtönviszony; büntetés; büntetésvégrehajtás; bűncselekmény; cellaajtó; feltételes; fogház-körlet; fogházkörlet; fogvatartás; kapcsolattartó; kihallgatás; nevelőm; prevenció; priccs; szabadul; őrizet; börtönkapcsolat
148	jog	fegyveres erők		fegyveres erők	2	parancsnok; tiszt; főhadnagy; őrmester; rendőr; század; zászlóalj; századparancsnokik; ss; barakk; hadnagy; laktanya; őrnagy; ezredes; honvéd; katonaság; rendőrség; szakaszvezető; századparancsnok; tank; zászlós; honvédség; kiképzést; bajtárs; barak; bevonulás; detektív; egyenruha; fegyver; hadapródik; karpaszományos; katona; katonaláda; katonasághoz; katonákn; katonát; laktany; parancs; pisztoly; puska; rendőrautó; sporttiszt; századparancsnook; tábornok; fokozat; igazoltatta; alakulat; alapkiképzés; alezredes; atombomba; barak; behívó; betonbunker; bűnözés; eltávozás; ezredparancsnok; frontszolgálat; főkapitányság; géppuska; géppuskás; hadosztály; hadsereg; katona; katonaorvosok; katonasapka; katonaságnál; katonatiszt; katonaviselt; katonáskodik; keretlegénység; körlet; legénység; lelő; lesze; leszerel; leszerelt; légóparancsnok; lövész; lövészet; menetszázad; nyilas; páncélos; rendőri; rendőrkapitányság; revolver; rohamsisak; sorozás; szakasz; szakaszvezetőnk; tartalékos; tüzér; vezényel; vezénylés; vezérkari; vezérőrnagy; vitézségi; őrség
149	intézmény és szervezet			intézmény és szervezet	1	intézmény; szervezet
150	intézmény és szervezet	állami intézmény és szervezet		állami intézmény és szervezet	2	állami; szervezet; klik; mnb; pszáf; alapítvány; tanács; gazdaságkutató; pénzügyminisztérium; biztosításfelügyelet; bíróság; családsegítő; kormányhivatal
151	intézmény és szervezet	közigazgatás		közigazgatás	2	közfeladat; közügy; igazgatás; köztisztviselő; közhivatalnok; közhivatal
152	intézmény és szervezet	közigazgatás	állam és állami igazgatás	állam és állami igazgatás	3	államigazgatás; miniszter; külszolgálat; állam; bürokrata; diplomata; kormány; tanács; államapparátus; hadügyminisztérium; versenyhivatal; adóhivatal; bürokrata; diplomata; politikus; hivatalnok; követség; köztisztviselő; külügy; külügyminisztérium; miniszterelnök; miniszter; minisztérium; nagykövetség; országgyűlés; parlamenti; szubvencionális; tisztviselő; táblabíró; állampolgár; állampolgárság; államszervezési; államszervezet
153	intézmény és szervezet	közigazgatás	önkormányzat és helyi igazgatás	önkormányzat és helyi igazgatás	3	tanács; polgármester; önkormányzat
154	intézmény és szervezet	nem állami intézmény és szervezet		nem állami intézmény és szervezet	2	NGO; non-profit; nonprofit; közhasznú
155	intézmény és szervezet	nem állami intézmény és szervezet	érdekképviselet	érdekképviselet	3	szakszervezet; munkástanács; tddsz; fórum; nyilatkozik; nőmozgalom; érdekvédelem
156	intézmény és szervezet	nem állami intézmény és szervezet	civil szervezet	civil szervezet	3	alapítvány; egyesület; polgárőrség
157	intézmény és szervezet	vezetés (szervezet)		vezetés (szervezet)	2	vezető; igazgató; osztályvezető; vezérigazgató; főnök; főszerkesztő; felügyelet; művezető; csoportvezető; felügyeletvezető; főnökasszony; igazgatónő; iskolavezetés; menedzser; telepvezető; vezérkar; ügyvezető
158	intézmény és szervezet	döntéshozatal		döntéshozatal	2	parancs; döntéshozatal; döntés
159	társadalmi csoport			társadalmi csoport	1	jobboldali; paraszt; baloldali; elit; generáció; hajléktalan; középpolgári; műveletlen; művelt; nagypolgári; nagyvállalkozó; osztályidegen; szegény; szegénycsopor; vidéki; értelmiségi; újgazdag; polgárlány; polgár
160	társadalmi csoport	nem és gender		nem és gender	2	nemiség; anyaszerep; férfiszerep; férfiasság; nőiesség; macsó; gender; maszkulin; feminin
161	társadalmi csoport	kisebbség		kisebbség	2	kisebbség; cigánykutatás; kisebbségi; minoritás
162	társadalmi csoport	kisebbség	cigányság	cigányság	3	cigány; roma; cigányasszony; beás; cigánylány; cigányság; cigányember; cigánygyerek; cigánykérdés; cigánybűnözés; cigánycsalád; cigánykutatás; cigánylakosság; cigányprobléma; cigányszemlélet; cigánytelep; gácsó
163	társadalmi csoport	kisebbség	zsidóság	zsidóság	3	zsidó; zsidóság; zsinagóga; rabbi; holocaust; gettó; zsidógyerek; zsidózás; zsidóüldözés; chanuka; holocaust; izrael; pészach; széder; zsidófok; filoszemitizmus; holokauszt; jiddis; kadis; kádis; kóser; körülmetélt; küp; tóra; zsidóidentitás; goj
164	társadalmi csoport	kisebbség	fogyatékkal élő	fogyatékkal élő	3	rokkantnyugdíj; rokkant; rokkantság
165	társadalmi csoport	kisebbség	nemzetiség	nemzetiség	3	sváb; oláh; szlovák; rutén; szerb; horvát
166	társadalmi csoport	kisebbség	LMBTQ+	LMBTQ+	3	buzi; leszbi; leszbikus; homokos; lmbtq
167	társadalmi csoport	közösség		közösség	2	közösség; klub; összetartozás; csoport; klubest; élményközösség
168	társadalmi csoport	generáció		generáció	2	generáció; fiatal; fiatalok; fiatalság; generációs; generációsak; idősebb; lánykor; nemzedék; nyugdíjas; rugalmas; szüleink; utánpótlás
169	társadalmi csoport	külföldi		külföldi	2	amerikai; külföldi; német; belga; nyugati; néem; orosz; szovjet
170	társadalmi csoport	külföldi	bevándorló	bevándorló	3	muszlim; arab; bevándorló; migráns
171	társadalmi csoport	külföldi	menekült	menekült	3	menedékes; menekül; menekült
172	társadalmi jelenség			társadalmi jelenség	1	beilleszkedés; beilleszkedik; cigánykérdés; elnyomás; fejlődés; kirekesztés; lemorzsolódá; lemorzsolódás; lázadás; ntegráció; szegénység; szegénytelép; tüntetés; visszailleszkedés
173	társadalmi jelenség	demográfiai folyamat		demográfiai folyamat	2	elvándorol
174	társadalmi jelenség	demográfiai folyamat	migráció	migráció	3	disszidálás; célország; amerika; erdély; izrael; palesztina; bevándorló; disszidál; elvándorol; kintmarad; kivándorlás; költözik; másodgenerációs; állampolgárság; átjön; átköltözik
175	társadalmi jelenség	beilleszkedés		beilleszkedés	2	beilleszkedés; közösség; elfogadás; összetartozás; összetartás
176	társadalmi jelenség	beilleszkedés	asszimiláció	asszimiláció	3	asszimilálódik; beolvadás
177	társadalmi jelenség	társadalmi kirekesztés		társadalmi kirekesztés	2	kirekesztés; kirekesztő; zsidózás; befogadó; beintegrál; bujkál; bujtat; buzifelvonulás; integráció; integrál; marginalizáció; nyomorékok; szegény; toleráns; zaklat; zaklatás
178	társadalmi jelenség	társadalmi kirekesztés	diszkrimináció	diszkrimináció	3	diszkrimináció; diszkriminál; esélyegyenlőség; hátrány
179	társadalmi jelenség	társadalmi kirekesztés	szegregáció	szegregáció	3	szegregált; szegregálódik; éhes
180	társadalmi jelenség	társadalmi részvétel		társadalmi részvétel	2	együttműködés; rendezvény; visszailleszkedés; aktivista; anti-pszichiátria; anti-pszichiátriá; faültetés; felvonulás; hátrány; integrálódik; jótékonyság; képviselő; közügy; megemlékezé; mozgalmi; mozgalom; rászorulók; segít; szemétszedés; tüntetés; önkéntes
181	társadalmi jelenség	társadalmi részvétel	civil aktivizmus	civil aktivizmus	3	aktivizmus; aktivista; önvédelem
182	társadalmi jelenség	globalizáció		globalizáció	2	globalizációról; nemzetközi
183	társadalmi rendszer			társadalmi rendszer	1	kgst; reformerek; követelmény; szabály; szociálpolitika; társadalompolitika; érdekviszony; értékviszony
184	társadalmi rendszer	társadalmi struktúra		társadalmi struktúra	2	középosztály; gazdag; értelmiségi; depriváció; középosztálybeli; középréteg; milliárdos; mélyszegénység; nagypolgári; szegény; szegénység; újratermeljü
185	társadalmi rendszer	társadalmi struktúra	alsóosztály	alsóosztály	3	cselédasszony; munkás; munkáskörnyezet; paraszt
186	társadalmi rendszer	társadalmi struktúra	középosztály	középosztály	3	polgár; polgári; hivatalnok; kisvállalkozó
187	társadalmi rendszer	társadalmi struktúra	felsőosztály	felsőosztály	3	elit; táblabíró
188	társadalmi rendszer	társadalmi struktúra	társadalmi egyenlőtlenség	társadalmi egyenlőtlenség	3	szegény; veszélyeztetett
189	társadalmi rendszer	kapitalizmus		kapitalizmus	2	kapitalizmus; kiprivatizál; multinacionális; privatizációkor
190	társadalmi rendszer	szocializmus		szocializmus	2	szocializmus; elvtárs; kisz-vezető; ávó; ügynöklista; mszmp; kommunizmus; káder; kádár-rendszer; pártbizottság; pártember; útlevélelvevés; disszidálás; kádárék; rajk-ügy; kisz-mozgalom; kádergyerek; munkáskáder; posztszocialista; szamizdat; szovjet; tsz; államosítás; ötvenhat; úttörőmozgalom; úttörőtábor
191	kapcsolat			kapcsolat	1	kapcsolat; kapcsolattartás; kollegialitás; támogató; viszonyulás
192	kapcsolat	személyes kapcsolat		személyes kapcsolat	2	barát; barátnő; osztálytárs; munkatárs; évfolyamtárs; kapcsolat; társaság; barátság; haver; szomszéd; közösség; lakótárs; ismerős; összejövetel; csoporttárs; megbarátkozik; találkozik; találkozó; összejön; baráti; megismerkedik; munkatárs; osztálytárs; barátaim; barátkozik; csoporttárs; kapcsolattartó; közösség; levelezés; szomszéd; évfolyamtárs; összeröffenés; kapcsolattartás; kollegialitás; barátság; brigád; buli; börtönkapcsolat; családlátogatás; diákszerelem; együttlakás; együttműködik; együttélés; haverizmus; házibuli; iskolatárs; ismerkedik; ismerkedés; ivócimbora; kolléga; kolléganő; levelez; mentor; munkakapcsolat; munkatárs; nevelő; osztálytárs; osztálytársnő; partner; találkozás; találkozó; zárkatárs; összebarátkozik; összehaverkodik; összeismerkedik; összejár
193	kapcsolat	személyes kapcsolat	párkapcsolat	párkapcsolat	3	párkapcsolat; élettárs; szerelem; diákszerelem; flörtölés; udvarlás; viszony; randevú; szerelem
194	kapcsolat	csoportok közötti kapcsolat		csoportok közötti kapcsolat	2	banda; szövetség; bandaháború; klub; egylet; társulat; társaság; gárda; egyesület; csoport; csapat; közösség; kommuna; gyülekezet; szervezet; galeri; kompánia; társulás; brancs; alakulat; osztag; bagázs; kollektíva; szövetség
195	kapcsolat	nemzetközi kapcsolat		nemzetközi kapcsolat	2	multilaterális; bilaterális
196	kapcsolat	ellenség és ellenfél		ellenség és ellenfél	2	ellenség; ellenfél; rosszakaró; haragos; ellenlábas; rivális
197	kapcsolat	nevelés		nevelés	2	nevel; felnevel; nevelés; gyereknevelés; gyereknevelő; nevelő; magatartás; nyakleves; szocializálódik; szocializálódás
198	kapcsolat	konfliktus		konfliktus	2	konfliktus; veszekedés; feszültség; affér; atrocitás; bandaháború; probléma; veszekedik; összeszólalkozás; összeverekedik; okvetetlenked; ordítozni; beleszól; beszóln; botrány; bánt; bíróság; cirkuszol; civakodik; elesik; elgáncsol; ellenséges; front; földúl; gyűlölködik; gúnyol; harc; ijesztget; kekeckedtek; kiabálás; kiegyezik; kirabol; konfliktusaik; konfliktuselmélet; konfliktusos; kötekedő; lehord; lövöldözik; megosztó; megvádol; megvéd; megzsarolt; megüt; nyolcórázik; panasz; perel; pereskedés; pofon; robbantgatás; szemtelenkedtek; tettlegesség; tolvaj; támad; tárgyalás; vita; vitatkozik; zaklatás; zűör; átver; összecsapás; összeszólalkozik; összetűzéseink; összeveszik; összeveszés
199	kapcsolat	erőszak		erőszak	2	erőszak; atrocitás; bántalmazás; agresszió; agresszivitás; sértés; terror; tettlegesség; bosszú
200	történelem			történelem	1	történelem; 1920; nagy-magyarország; családtörténeti; múltfeltárási; történelemkönyv
201	történelem	történelmi korszak és esemény		történelmi korszak és esemény	2	munkaszolgálatos; gázkamra; munkaszolgálat; rendszerváltás; krematórium; gettó; trianon; deportálva; menlevél; rendszerváltozás; 1945; 1956; 56; 70; disszidálás; mauthausen; rajk-ügy; recsk; tanácsköztársaság; barakk; bombáz; bujkál; bujtat; deportálás; ezerkilencszázharmincnyolc; felszabadulás; front; fölszabadul; hatalomváltás; katonaláda; kitelepítés; kádár-korszak; kárpótlás; lakosságcsere; muszos; nyolcvanas; privatizáció; privatizációs; robban; taxisválság; történelmi; vagoníroz; vagonírozás; zsidótörvény; ezerkilencszáztizennyolcra
202	történelem	történelmi korszak és esemény	háború	háború	3	munkaszolgálat; munkaszolgálatos; katona; ss; világháború; front; barakk; gettó; parancsnok; visszavonulás; atombomba; bevagoníroz; bombatámadás; ellenség; harc; lelő; munkaszolgálatoso; rakéta; rohamsisak; századparancsnokik; tank; tiszt; zsidóüldözés; bunkerásás; horthyféle; lövészárok; mauthausen; wehrmach; aknaszedés; bombaszilánk; bombáz; bombázás; bunker; elhurcolás; fegyver; felszabadulás; frontszolgálat; fölszabadul; főhadnagy; géppisztoly; hadapród; hadifogoly; harci; hazaáruló; karpaszományos; katonaláda; katonaruha; katonaság; kápó; lakosságcsere; levente; lövöldözik; megbombáz; menlevél; munkaszolgálatos; munkásszázad; muszos; negyvenöt; nyilas; partizán; puska; páncélos; riadó; roham; szakaszvezető; századparancsnok; szökés; támadás
